"ID","secession_start","reconstruction_start","reconstruction_end"
"tn_state","June 8, 1861","March 2, 1867","July 24, 1866"
"ar_state","May 6, 1861","March 2, 1867","June 22, 1868"
"fl_state","January 10, 1861","March 2, 1867","June 25, 1868"
"nc_state","May 20, 1861","March 2, 1867","July 4, 1868"
"sc_state","December 20, 1860","March 2, 1867","July 9, 1868"
"la_state","January 26, 1861","March 2, 1867","July 9, 1868"
"al_state","January 11, 1861","March 2, 1867","July 13, 1868"
"va_state","April 17, 1861","March 2, 1867","January 26, 1870"
"ms_state","January 9, 1861","March 2, 1867","February 23, 1870"
"tx_state","February 1, 1861","March 2, 1867","March 30, 1870"
"ga_state","January 19, 1861","March 2, 1867","July 15, 1870"
